Média (pesos);RC;Área Aberta;Vegetação Secundária;BR 163;Proximidade a área urbana;Estradas vicinais;Tamanho dos imóveis;Imóveis certificados;Declividade;Rios ;Assentamento;Embargo;Floresta;Unidade de Conservação;Terra Indígena;;;
194;0,099998681;0,192761316;0,156171746;0,139988359;0,104788749;0,083083372;0,077765426;0,064081113;0,045425129;0,045648149;0,03075594;0,025179568;0,014877663;0,010667347;0,008806123;;P(RC<0,1) =;100,00%
189;0,099977972;0,194462298;0,143902283;0,148905939;0,10893675;0,081713723;0,075420337;0,066970274;0,046367082;0,043505487;0,030554012;0,024556543;0,014883755;0,011204747;0,008616772;;;
472;0,099946748;0,193388192;0,14475984;0,148559253;0,101639671;0,093564986;0,072627357;0,067407932;0,044545284;0,043099197;0,031343998;0,024416977;0,015242976;0,010953784;0,008450551;;limite simulação:;0,5
59;0,099930799;0,195500202;0,145989577;0,149742988;0,097944475;0,087865193;0,070695154;0,070236153;0,045602577;0,044059971;0,031935617;0,025320535;0,015174111;0,010920885;0,009012563;;;
473;0,099930185;0,197868664;0,142710946;0,149654165;0,101562753;0,083662617;0,080769678;0,062796186;0,047302457;0,042542817;0,03112866;0,025314254;0,015170581;0,01076817;0,008748051;;n=;875
145;0,099899438;0,199142087;0,15122722;0,142852197;0,098473649;0,086284755;0,076411948;0,064355126;0,047272308;0,042449825;0,031740229;0,024423645;0,015184897;0,011387333;0,008794781;;;
971;0,099892542;0,207228075;0,140186411;0,141066836;0,103257012;0,084815014;0,079466989;0,065567601;0,044630524;0,043303933;0,030402711;0,025597369;0,014787148;0,010705452;0,008984923;;;
301;0,099833811;0,198118745;0,141942129;0,156197913;0,094997645;0,086752789;0,071277587;0,069519545;0,046823495;0,042721765;0,03125921;0,024827643;0,015669377;0,010993383;0,008898774;;;
455;0,09982935;0,208502358;0,146484159;0,139398069;0,092603388;0,091425724;0,076676623;0,064167019;0,047555994;0,04255687;0,03045318;0,024697004;0,015172992;0,011530464;0,008776154;;;
486;0,099816771;0,197081044;0,152008398;0,139100916;0,101826605;0,087058416;0,077189704;0,065380577;0,04525653;0,04422802;0,031208172;0,024406461;0,015199707;0,011157094;0,008898356;;;
34;0,099814047;0,196251657;0,141514032;0,145018764;0,109998862;0,082908019;0,075279677;0,067121736;0,04368509;0,045666713;0,031863776;0,025715032;0,01500186;0,011080523;0,008894258;;;
974;0,099793628;0,199330662;0,147895984;0,144130211;0,099127541;0,084183476;0,071020926;0,071205358;0,045810718;0,044744557;0,032119741;0,024995456;0,015369088;0,011239279;0,008827003;;;
218;0,099790578;0,20249984;0,142295324;0,142739606;0,104468096;0,084664604;0,073218933;0,06777362;0,045457846;0,044990135;0,030772865;0,026002081;0,015286614;0,011037146;0,00879329;;;
22;0,099783476;0,196981661;0,152037853;0,138702698;0,099760595;0,095227306;0,070399887;0,06584156;0,046770122;0,043031909;0,031316577;0,025250733;0,014909808;0,010974718;0,008794572;;;
